Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
SRR10983647	18510469.0	0.0	18510469.0	1.0	18510469.0	0.0	15572575.0	0.0	2937894.0	0.0	0.0	0.0	1168332.0	0.0	6257719.0	0.0	944033919.0	944033919.0	0.0	794201325.0	730513209.0	0.0	0.0	2044125.0	0.002798204	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.12847346007278	0.0	15.871526539927217	0.0	0.0	0.0	6.311736347685194	0.0	14404243.0
SRR10983648	16707499.0	0.0	16707499.0	1.0	16707499.0	0.0	14065308.0	0.0	2642191.0	0.0	0.0	0.0	1012714.0	0.0	5828891.0	0.0	852082449.0	852082449.0	0.0	717330708.0	660868062.0	0.0	0.0	1848005.0	0.00279633	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.18559833521464	0.0	15.814401664785377	0.0	0.0	0.0	6.06143385075169	0.0	13052594.0
SRR10983649	14335706.0	0.0	14335706.0	1.0	14335706.0	0.0	12403983.0	0.0	1931723.0	0.0	0.0	0.0	795503.0	0.0	4284601.0	0.0	731121006.0	731121006.0	0.0	632603133.0	583739391.0	0.0	0.0	1633031.0	0.002797534	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.52509335780184	0.0	13.474906642198158	0.0	0.0	0.0	5.549102360218604	0.0	11608480.0
SRR10983650	1111649.0	0.0	1111649.0	1.0	1111649.0	0.0	164270.0	0.0	947379.0	0.0	0.0	0.0	6264.0	0.0	86397.0	0.0	55986022.0	55986022.0	0.0	8371026.0	8156682.0	0.0	0.0	44592.0	0.005466929	50.0	50.0	0.0	51.0	51.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.77714638343578	0.0	85.22285361656422	0.0	0.0	0.0	0.5634872158388124	0.0	158006.0
SRR10983651	14393856.0	0.0	14393856.0	1.0	14393856.0	0.0	12080238.0	0.0	2313618.0	0.0	0.0	0.0	825741.0	0.0	4614662.0	0.0	734086656.0	734086656.0	0.0	616092138.0	568781212.0	0.0	0.0	1744156.0	0.00306648	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.92635024277025	0.0	16.073649757229752	0.0	0.0	0.0	5.736760184345321	0.0	11254497.0
SRR10983652	14824917.0	0.0	14824917.0	1.0	14824917.0	0.0	1833154.0	0.0	12991763.0	0.0	0.0	0.0	173690.0	0.0	1222604.0	0.0	722298942.0	722298942.0	0.0	93457158.0	85989282.0	0.0	0.0	256011.0	0.002977243	49.0	49.0	0.0	51.0	51.0	0.0	34.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.365357593570337	0.0	87.63464240642966	0.0	0.0	0.0	1.171608583036249	0.0	1659464.0
SRR10983653	17153972.0	0.0	17153972.0	1.0	17153972.0	0.0	286939.0	0.0	16867033.0	0.0	0.0	0.0	28719.0	0.0	303228.0	0.0	821177838.0	821177838.0	0.0	14619200.0	13686692.0	0.0	0.0	41323.0	0.00301921	48.0	48.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6727262933622602	0.0	98.32727370663774	0.0	0.0	0.0	0.16741895113271724	0.0	258220.0
SRR10983654	17573360.0	0.0	17573360.0	1.0	17573360.0	0.0	1166309.0	0.0	16407051.0	0.0	0.0	0.0	46808.0	0.0	749233.0	0.0	866339845.0	866339845.0	0.0	59114764.0	57473349.0	0.0	0.0	214439.0	0.003731103	49.0	49.0	0.0	51.0	51.0	0.0	34.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.636801385733861	0.0	93.36319861426614	0.0	0.0	0.0	0.266357714176458	0.0	1119501.0
SRR10983655	14986661.0	0.0	14986661.0	1.0	14986661.0	0.0	2750062.0	0.0	12236599.0	0.0	0.0	0.0	358460.0	0.0	3302159.0	0.0	712883741.0	712883741.0	0.0	140218006.0	129918427.0	0.0	0.0	385525.0	0.002967439	48.0	48.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.350064767595665	0.0	81.64993523240433	0.0	0.0	0.0	2.3918603350005716	0.0	2391602.0
SRR10983656	754976.0	0.0	754976.0	1.0	754976.0	0.0	302356.0	0.0	452620.0	0.0	0.0	0.0	16720.0	0.0	112150.0	0.0	37431618.0	37431618.0	0.0	15418173.0	14302639.0	0.0	0.0	43348.0	0.003030769	50.0	50.0	0.0	51.0	51.0	0.0	34.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.04842538040944	0.0	59.95157461959055	0.0	0.0	0.0	2.214639935574111	0.0	285636.0
SRR10983657	9585518.0	0.0	9585518.0	1.0	9585518.0	0.0	5422794.0	0.0	4162724.0	0.0	0.0	0.0	850314.0	0.0	6865714.0	0.0	484185778.0	484185778.0	0.0	276497299.0	253924665.0	0.0	0.0	667206.0	0.002627575	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.572779895671786	0.0	43.42722010432822	0.0	0.0	0.0	8.870819500834488	0.0	4572480.0
SRR10983658	10017247.0	0.0	10017247.0	1.0	10017247.0	0.0	7530127.0	0.0	2487120.0	0.0	0.0	0.0	431632.0	0.0	2363950.0	0.0	506863744.0	506863744.0	0.0	383982852.0	354218362.0	0.0	0.0	952024.0	0.002687675	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.17162150439137	0.0	24.828378495608625	0.0	0.0	0.0	4.308888460072912	0.0	7098495.0
SRR10983659	13839185.0	0.0	13839185.0	1.0	13839185.0	0.0	11944357.0	0.0	1894828.0	0.0	0.0	0.0	739947.0	0.0	4320345.0	0.0	705798435.0	705798435.0	0.0	609162207.0	562656973.0	0.0	0.0	1522755.0	0.002706365	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.3082399722238	0.0	13.691760027776201	0.0	0.0	0.0	5.346752717013321	0.0	11204410.0
SRR10983660	12935569.0	0.0	12935569.0	1.0	12935569.0	0.0	10838774.0	0.0	2096795.0	0.0	0.0	0.0	857049.0	0.0	5080454.0	0.0	659714019.0	659714019.0	0.0	552777474.0	509530328.0	0.0	0.0	1384057.0	0.002716339	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.7904695185809	0.0	16.2095304814191	0.0	0.0	0.0	6.625522232535731	0.0	9981725.0
SRR10983661	14915629.0	0.0	14915629.0	1.0	14915629.0	0.0	7108064.0	0.0	7807565.0	0.0	0.0	0.0	487500.0	0.0	2926008.0	0.0	746372447.0	746372447.0	0.0	362465856.0	333555731.0	0.0	0.0	1031902.0	0.003093642	50.0	50.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.65514079225221	0.0	52.344859207747795	0.0	0.0	0.0	3.2683837872341823	0.0	6620564.0
SRR10983662	12511154.0	0.0	12511154.0	1.0	12511154.0	0.0	10920986.0	0.0	1590168.0	0.0	0.0	0.0	668565.0	0.0	3658988.0	0.0	638068854.0	638068854.0	0.0	556970286.0	514031572.0	0.0	0.0	1369013.0	0.002663286	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.28999738952938	0.0	12.710002610470625	0.0	0.0	0.0	5.343751663515612	0.0	10252421.0
